Unnamed: 0,Total_Codes_Applied,Codes_Applied
209 : Patching the Pipeline~ Reducing Educational Disparities in the Sciences through Minority Training Programs,12,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
210 : Pathways over Time~ Functional Genomics Research in an Introductory Laboratory Course,9,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
211 : Pathways to Undergraduate Research Experiences~ a Multi-Institutional Study.,9,"G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified"
212 : Perceived Student Benefits of an Undergraduate Physiological Psychology Laboratory Course.,10,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
213 : Perspectives on the Agricultural and Life Sciences Undergraduate Research Experience at the University of Florida.,10,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
214 : Physically Disabled Students in Summer Undergraduate Research Environments.,13,"F : STEM, G : Experiences and Outcomes of URE, O : Access to UREs, S : General Perceptions and Experiences, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group"
215 : Pipelines and Pathways~ Women of Color in Undergraduate STEM Majors and the College Experiences That Contribute to Persistence,12,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
216 : Positioning Humanity before Progress~ Students' and Mentors' Perceptions of the COVID-19 Impact on Undergraduate Research,4,"C : COVID-19, AV : FLAG, BS : Program type, BW : Not Specified"
217 : Positive Affective and Behavioral Gains of First-Year Students in Course-Based Research across Disciplines,6,"F : STEM, AV : FLAG, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
218 : Postbaccalaureate terminal degree and career choices of students who performed undergraduate research,12,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BV : Mixed modality, CA : Underrepresented Group"
219 : Preparing Undergraduate Women for Science Careers~ Facilitating Success in Professional Research,11,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
220 : Promoting information literacy through collaborative service learning in an undergraduate research course,12,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, AV : FLAG, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
221 : Promoting Pathways to STEM Careers for Traditionally Underrepresented Graduate Students.,13,"F : STEM, G : Experiences and Outcomes of URE, O : Access to UREs, S : General Perceptions and Experiences, W : Graduate School and Career, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
222 : Promoting STEM Careers Among Undergraduates Through Interdisciplinary Engineering Research.,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program"
"223 : Promoting Undergraduate Interest, Preparedness, and Professional Pursuit in the Sciences~ An Outcomes Evaluation of the SURE Program at Emory University",6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
224 : Promoting Undergraduate STEM Education at a Historically Black College and University through Research Experience.,7,"F : STEM, AV : FLAG, BM : Primary Institutional Context, BP : Minority Serving Institution, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group"
225 : Recruiting Students into Science~ Evaluating the Impact of the North Dakota IDeA Network of Biomedical Research Excellence.,8,"F : STEM, AV : FLAG, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
226 : Requiring Research May Improve Retention In STEM Fields for Underrepresented Women.,7,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, CA : Underrepresented Group"
227 : Research and Teaching~ An Investigation of the Evolution of High School and Undergraduate Student Researchers' Understanding of Key Science Ethics Concepts,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
228 : Research Anxiety Predicts Undergraduates' Intentions to Pursue Scientific Research Careers,6,"F : STEM, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified"
229 : Research Experiences of Undergraduate Students at a Comprehensive University.,8,"E : Social Sciences and or Humanities, F : STEM, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, CA : Underrepresented Group"
230 : Research Group-Led Undergraduate Research Program~ Analyzing and Improving a Versatile Springboard for First-Year Undergraduates,6,"F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality"
231 : Research skills and STEM undergraduate research students' aspirations for research careers~ Mediating effects of research self-efficacy,8,"F : STEM, AY : Graduate School and Career, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality"
232 : Research Study on an Applied Interdisciplinary Product Development Course for College Sophomores.,10,"E : Social Sciences and or Humanities, F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BB : Mixed or Multi-Methods, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
233 : Researcher Identity Formation among Black Undergraduate Participants in a Summer Research Training Program.,10,"B : Access to UREs, E : Social Sciences and or Humanities, F : STEM, AY : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group"
234 : Rhetoric and Affect in Undergraduate Research~ A Diary Study.,11,"E : Social Sciences and or Humanities, F : STEM, AZ : Identity Development, BC : Qualitative, BK : Negative experience or outcome, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BV : Mixed modality, CA : Underrepresented Group, CC : Well-being"
235 : Science communication from a course‐based undergraduate research experience.,7,"F : STEM, AV : FLAG, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, CA : Underrepresented Group"
236 : Seeding undergraduate research experience~ From Georgia Tech to KFUPM case study.,10,"F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, CB : Use of Mentorship and Campus Supports"
237 : Sloan Foundation Scholarship Program~ Mentoring Undergraduates toward Doctoral Degrees.,7,"F : STEM, AV : FLAG, AY : Graduate School and Career, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality"
238 : Strength in Numbers~ A Model for Undergraduate Research Training and Education in the Social and Behavioral Sciences.,11,"E : Social Sciences and or Humanities, AV : FLAG, AZ : Identity Development, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BO : Community College, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
239 : Stressing Escherichia coli to educate students about research~ A CURE to investigate multiple levels of gene regulation.,9,"A : Academic Success, F : STEM, AW : General Perceptions and Experiences, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BT : Course-Based Program"
240 : Striving to involve undergraduates in economic research at Wellesley College.,6,"E : Social Sciences and or Humanities, AV : FLAG, BM : Primary Institutional Context, BO : Community College, BS : Program type, BV : Mixed modality"
241 : Student and Faculty Member Engagement in Undergraduate Research.,8,"B : Access to UREs, E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BV : Mixed modality"
242 : Student and Faculty Outcomes of Undergraduate Science Research Projects by Geographically Dispersed Students.,9,"F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BB : Mixed or Multi-Methods, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
243 : Student and Faculty Perceptions of Undergraduate Research Experiences in Computing,12,"F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BC : Qualitative, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality, BY : Sense of belonging, CB : Use of Mentorship and Campus Supports"
244 : STUDENT EFFORT IN AND PERCEIVED BENEFITS FROM UNDERGRADUATE RESEARCH.,8,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
245 : Student Identities in Authentic Course- Based Undergraduate Research Experience.,10,"F : STEM, AY : Graduate School and Career, AZ : Identity Development, BC : Qualitative, BK : Negative experience or outcome, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, CB : Use of Mentorship and Campus Supports"
246 : Student Outcomes from Undergraduate Research Programs~ Comparing Models of Research Experiences for Undergraduates (REUs),6,"F : STEM, AV : FLAG, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
247 : Student Perceptions of Mentoring Practices During Undergraduate Research Experiences.,12,"F : STEM, AY : Graduate School and Career, AZ : Identity Development, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program, BY : Sense of belonging, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports"
248 : Student Perspectives on Facilitating Positive Undergraduate Research Experiences.,8,"AV : FLAG, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports"
"249 : Student-Perceived Gains in Collaborative, Course-Based Undergraduate Research Experiences in the Geosciences.",8,"F : STEM, AZ : Identity Development, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
"250 : Students in Fully Online Programs Report More Positive Attitudes toward Science than Students in Traditional, In-Person Programs",7,"F : STEM, AV : FLAG, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
251 : Students with Disabilities in Life Science Undergraduate Research Experiences~ Challenges and Opportunities,14,"B : Access to UREs, F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BB : Mixed or Multi-Methods, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BV : Mixed modality, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports, CC : Well-being"
252 : Students' Experiences and Perceptions of the Scientific Research Culture after Participating in Different Course-Based Undergraduate Research Experience Models,10,"F : STEM, AW : General Perceptions and Experiences, BC : Qualitative, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program"
253 : Successful Student Transitions from the Community College to the Four-Year College Facilitated by Undergraduate Research.,10,"A : Academic Success, F : STEM, AY : Graduate School and Career, BC : Qualitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BV : Mixed modality, CA : Underrepresented Group"
254 : Supporting STEM Transfer Students through Cross-Institutional Undergraduate Research Experiences,13,"A : Academic Success, F : STEM, AY : Graduate School and Career, AZ : Identity Development, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, BY : Sense of belonging, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports"
255 : Survey of Undergraduate Research Experiences (SURE)~ First Findings,11,"F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports"
256 : Survey Study Investigating the Significance of Conference Participation to Undergraduate Research Students.,8,"F : STEM, AV : FLAG, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
257 : Teaching Social Justice Research to Undergraduate Students in Puerto Rico~ Using Personal Experiences to Inform Research.,9,"AW : General Perceptions and Experiences, AZ : Identity Development, BC : Qualitative, BK : Negative experience or outcome, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BW : Not Specified, BY : Sense of belonging"
258 : The Association of First-Generation Status and Mentored Research with Research Self-Efficacy and Outcome Expectancy in Undergraduate Early Research Experiences.,8,"E : Social Sciences and or Humanities, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality, CA : Underrepresented Group"
259 : The Emerging STEM Paths and Science Identities of Hispanic~Latinx College Students~ Examining the Impact of Multiple Undergraduate Research Experiences,14,"F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, AZ : Identity Development, BC : Qualitative, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports, CC : Well-being"
260 : The Essential Features of Undergraduate Research,4,"AV : FLAG, AY : Graduate School and Career, BL : Non-cognitive skills, CB : Use of Mentorship and Campus Supports"
"261 : The Genesis, Evolution, and Influence of Undergraduate Research Mentoring Relationships.",11,"E : Social Sciences and or Humanities, F : STEM, AY : Graduate School and Career, AZ : Identity Development, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, BY : Sense of belonging, CB : Use of Mentorship and Campus Supports"
262 : The Impact of an Undergraduate Research Experience on Graduate Degree Attainment across Academic Divisions,1,AV : FLAG
263 : The Impact of Early Participation in Undergraduate Research Experiences on Multiple Measures of Premed Path Success,8,"A : Academic Success, F : STEM, AY : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
264 : The Impact of the COVID-19 Pandemic on Sense of Belonging and Science Outcomes among Biomedical Science Students~ A Longitudinal Study.,10,"C : COVID-19, F : STEM, AZ : Identity Development, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified, BY : Sense of belonging"
"265 : The Impact of Undergraduate Research and Student Characteristics on Student Success Metrics at an Urban, Minority Serving, Commuter, Public Institution.",9,"A : Academic Success, E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, CA : Underrepresented Group"
266 : The Impact of Undergraduate Research Experience Intensity on Measures of Student Success.,9,"A : Academic Success, E : Social Sciences and or Humanities, F : STEM, AY : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BS : Program type, BV : Mixed modality"
267 : The Impact Of Undergraduate Research Experiences On Participants' Career Decisions.,10,"F : STEM, AY : Graduate School and Career, AZ : Identity Development, BB : Mixed or Multi-Methods, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group"
268 : The Impact of Undergraduate Research on Academic Success,5,"A : Academic Success, AV : FLAG, BD : Quantitative, BS : Program type, BW : Not Specified"
269 : The Influence of a Research Experiences for Undergraduates Program on Student Perceptions and Desire to Attend Graduate School.,11,"A : Academic Success, F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BB : Mixed or Multi-Methods, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
270 : The Influence of Materials Science and Engineering Undergraduate Research Experiences on Public Communication Skills.,7,"F : STEM, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality"
"271 : The Influence of On-Campus, Academic Year Undergraduate Research on STEM Ph.D. Outcomes~ Evidence From the Meyerhoff Scholarship Program.",9,"B : Access to UREs, F : STEM, AY : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, CA : Underrepresented Group"
"272 : The Influence of Research Participation, Field of Study, and Gender on Research Self-Efficacy.",9,"B : Access to UREs, E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BW : Not Specified"
273 : The influence of undergraduate research assistant experiences on future nursing roles.,10,"A : Academic Success, F : STEM, AY : Graduate School and Career, BC : Qualitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BV : Mixed modality, CB : Use of Mentorship and Campus Supports"
274 : The KEYSTONE Program~ A Model for STEM Student Success and Retention at a Small Liberal Arts College.,7,"F : STEM, AV : FLAG, BC : Qualitative, BM : Primary Institutional Context, BO : Community College, BS : Program type, BV : Mixed modality"
275 : The link between high-impact practices and student learning~ some longitudinal evidence.,7,"E : Social Sciences and or Humanities, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified"
276 : The Long-Term Impact of Undergraduate Internships and Research Experiences in Psychology~ An Alumni Survey Study.,9,"E : Social Sciences and or Humanities, AW : General Perceptions and Experiences, AY : Graduate School and Career, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
277 : The Perspective of Undergraduate Research Participant Pool Nonparticipants.,8,"E : Social Sciences and or Humanities, F : STEM, AV : FLAG, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
278 : The Purpose of Research~ What Undergraduate Students Say,1,AV : FLAG
279 : The Relationship between Undergraduate Research Participation and Subsequent Research Performance of Early Career STEM Graduate Students.,11,"F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BB : Mixed or Multi-Methods, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CB : Use of Mentorship and Campus Supports"
280 : The Relationship of Undergraduate Research Participation to Graduate and Professional Education Pursuit~ An Empirical Study.,10,"E : Social Sciences and or Humanities, F : STEM, AY : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports"
"281 : The Reliability, Validity, and Student Perceptions of an Undergraduate Research Program in Health Sciences (BHSc) as a Premedical Program~ A Preliminary Study.",8,"A : Academic Success, B : Access to UREs, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
282 : The Role of Student-Advisor Interactions in Apprenticing Undergraduate Researchers into a Scientific Community of Practice.,14,"B : Access to UREs, F : STEM, AY : Graduate School and Career, AZ : Identity Development, BC : Qualitative, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BQ : Multi-institutional, BS : Program type, BV : Mixed modality, CB : Use of Mentorship and Campus Supports, CC : Well-being"
283 : The Structure of Mentoring in Undergraduate Research~ Multi-Mentor Models,8,"E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BV : Mixed modality, CB : Use of Mentorship and Campus Supports"
284 : The undergraduate research experience as a vehicle for employability development—The student participants speak.,11,"A : Academic Success, F : STEM, AY : Graduate School and Career, AZ : Identity Development, BC : Qualitative, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
285 : The Undergraduate Research Fellows Program~ A Unique Model to Promote Engagement in Research,8,"F : STEM, AV : FLAG, AW : General Perceptions and Experiences, BL : Non-cognitive skills, BM : Primary Institutional Context, BO : Community College, BS : Program type, BV : Mixed modality"
286 : The USDA Scholars Program~ Innovations in a Summer Undergraduate Research Program.,10,"F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BB : Mixed or Multi-Methods, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program, CC : Well-being"
287 : The Value of Collaborative Research Before Independent Research in Undergraduate Music Education.,9,"E : Social Sciences and or Humanities, AZ : Identity Development, BB : Mixed or Multi-Methods, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BY : Sense of belonging"
288 : The ~Crime on Campus~ Study~ Course-Based Undergraduate Research and Student Confidence.,9,"E : Social Sciences and or Humanities, BB : Mixed or Multi-Methods, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, CC : Well-being"
289 : Thinking and behaving like scientists~ Perceptions of undergraduate science interns and their faculty mentors.,7,"F : STEM, AZ : Identity Development, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
"290 : Tracking and Assessing Undergraduate Research Campus-wide~ Demographics, Academic Success, and Postgraduation Plans.",10,"A : Academic Success, B : Access to UREs, E : Social Sciences and or Humanities, F : STEM, AY : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
291 : Training Future Scientists~ Predicting First-year Minority Student Participation in Health Science Research.,9,"F : STEM, AV : FLAG, BD : Quantitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
292 : Translatable Research Group-Based Undergraduate Research Program for Lower-Division Students,9,"F : STEM, AV : FLAG, AW : General Perceptions and Experiences, AZ : Identity Development, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality"
"293 : Two-Year College Students Report Multiple Benefits From Participation in an Integrated Geoscience Research, Coursework, and Outreach Internship Program.",12,"F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BC : Qualitative, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BO : Community College, BS : Program type, BV : Mixed modality, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports"
294 : Uncovering Students' Preconceptions of Undergraduate Research Experiences,11,"F : STEM, AW : General Perceptions and Experiences, AZ : Identity Development, BC : Qualitative, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, CB : Use of Mentorship and Campus Supports"
295 : Undergraduate Disabled Students as Knowledge Producers including Researchers~ A Missed Topic in Academic Literature.,8,"F : STEM, AV : FLAG, BC : Qualitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BT : Course-Based Program, CA : Underrepresented Group"
296 : Undergraduate engineering students' perceptions of research and researchers.,8,"F : STEM, AZ : Identity Development, BC : Qualitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BT : Course-Based Program"
297 : Undergraduate Research at a Teaching-Oriented College~ Seniors' Perspectives and Approaches to Consider.,12,"A : Academic Success, E : Social Sciences and or Humanities, F : STEM, AW : General Perceptions and Experiences, BD : Quantitative, BL : Non-cognitive skills, BM : Primary Institutional Context, BO : Community College, BP : Minority Serving Institution, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
"298 : Undergraduate Research at Community Colleges~ Equity, Discovery, and Innovation",7,"E : Social Sciences and or Humanities, F : STEM, AV : FLAG, BM : Primary Institutional Context, BO : Community College, BS : Program type, BV : Mixed modality"
299 : Undergraduate Research Embedded Across Course Levels and Types through Scaffolded Projects.,12,"A : Academic Success, E : Social Sciences and or Humanities, F : STEM, AV : FLAG, AW : General Perceptions and Experiences, BB : Mixed or Multi-Methods, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, CB : Use of Mentorship and Campus Supports"
"300 : Undergraduate Research Experience Aids Progression, Graduation Rates at Texas Southern University, an HBCU.",9,"A : Academic Success, E : Social Sciences and or Humanities, F : STEM, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BX : Summer-Based Program"
301 : Undergraduate Research Experience in Cybersecurity for Underrepresented Students and Students with Limited Research Opportunities.,11,"F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BB : Mixed or Multi-Methods, BL : Non-cognitive skills, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BT : Course-Based Program, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports"
302 : Undergraduate Research Experiences From a Longitudinal Perspective.,13,"A : Academic Success, F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, AZ : Identity Development, BB : Mixed or Multi-Methods, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BT : Course-Based Program, CB : Use of Mentorship and Campus Supports"
"303 : Undergraduate research experiences~ mentoring, awareness, and perceptions—a case study at a Hispanic-serving institution.",13,"A : Academic Success, B : Access to UREs, F : STEM, AW : General Perceptions and Experiences, AY : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BW : Not Specified, CA : Underrepresented Group, CB : Use of Mentorship and Campus Supports"
304 : Undergraduate Research in High-Altitude Ballooning at an Urban Community College,6,"F : STEM, AV : FLAG, BM : Primary Institutional Context, BO : Community College, BS : Program type, BW : Not Specified"
305 : Undergraduate research internships~ Veterinary students' experiences and the relation with internship quality.,11,"F : STEM, AW : General Perceptions and Experiences, BD : Quantitative, BK : Negative experience or outcome, BL : Non-cognitive skills, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, CB : Use of Mentorship and Campus Supports"
306 : Undergraduate research participation and STEM graduate degree aspirations among students of color.,8,"F : STEM, AY : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group"
